title,description,content,publishedAt,url
Equinor Discusses Sale of Argentinian Shale Assets,"Norway’s energy major Equinor has held early talks to sell stakes in Argentinian shale operations to Argentina’s state-owned oil firm YPF, its joint venture partner in the assets, Bloomberg reports, quoting an unnamed source with knowledge of the development.…","Environmental groups are actively pursuing…
The anticipated upcycle in deepwater…
By Charles Kennedy - Feb 28, 2025, 9:30 AM CSTNorway’s energy major Equinor has held early talks to sell stakes in … [+1895 chars]",2025-02-28T15:30:00Z,https://oilprice.com/Latest-Energy-News/World-News/Equinor-Discusses-Sale-of-Argentinian-Shale-Assets.html
"India-EU aim to conclude FTA negotiations by this year, MEA says after EU chief's 'landmark visit'","Leaders from India and the European Union held discussions in New Delhi, aiming to finalize the Free Trade Agreement by the end of the year. The wide-ranging talks focused on various sectors including trade, digital green technology, energy, and environment, …","The delegations from India and the European Union held delegations on a range of topics in the presence of Prime Minister Narendra Modi and EU President Ursula von der Leyen, and the leaders have dir… [+4187 chars]",2025-02-28T15:22:49Z,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-eu-aim-to-conclude-fta-negotiations-by-this-year-mea-says-after-eu-chiefs-landmark-visit/articleshow/118632806.cms
Energy Trading on Blockchain: Building Peer-to-Peer Energy Trading Platforms,"The energy sector is evolving rapidly, with decentralized energy systems and renewable energy sources taking center stage. One of the most exciting developments is peer-to-peer (P2P) energy trading, where individuals and businesses can buy and sell energy dir…","The energy sector is evolving rapidly, with decentralized energy systems and renewable energy sources taking center stage. One of the most exciting developments is peer-to-peer (P2P) energy trading, … [+6734 chars]",2025-02-28T14:46:23Z,https://www.javacodegeeks.com/2025/02/energy-trading-on-blockchain-building-peer-to-peer-energy-trading-platforms.html
"Lucas TVS boosts EV battery pack production, eyes energy storage market","Lucas TVS expands into electric mobility and energy storage, focusing on local manufacturing and developing battery cells.","Lucas TVS, a leading manufacturer of auto electrical parts, seeks to strengthen its foothold in the electric mobility sector by developing an indigenous battery ecosystem and expanding into energy st… [+3018 chars]",2025-02-28T14:45:59Z,https://www.thehindubusinessline.com/companies/lucas-tvs-boosts-ev-battery-pack-production-eyes-energy-storage-market/article69275645.ece
China's Solar Boom Is Slowing Down,"Trump Cancels Venezuela Waiver, Adding to Chevron’s Headache - US President Donald Trump has now turned to restrict Venezuela’s oil industry, reversing a 2022 general license that allowed Chevron to boost its production in the South American country to more t…","Saskatchewan has declared all pipeline…
Chinas famed Shandong teapots, the…
Oil prices are under pressure…
By Editorial Dept - Feb 28, 2025, 8:30 AM CST
Trump Cancels Venezuela Waiver, Adding to … [+8346 chars]",2025-02-28T14:30:00Z,https://oilprice.com/Energy/Energy-General/China-Solar-Boom-Is-Slowing-Down.html
AI’s Growing Waste Problem—and How to Solve It,"To deal with the mountains of hardware being used and discarded in the AI boom, companies need to embrace the circular economy.",One of the pitches for investing heavily in AIespecially resource-intensive versions such as large language models (LLMs)is the argument that these powerful technologies have the potential to help so… [+322 chars],2025-02-28T14:00:00Z,https://hbr.org/2025/02/ais-growing-waste-problem-and-how-to-solve-it
Meeting Cancellations Mount as Trump Administration Orders Take Effect,"The Providence Warwick Convention & Visitors Bureau in Rhode Island received its first business meeting cancellation on January 27. The conference, A growing wave of meeting cancellations signals trouble for the business events industry. Providence is one des…","The Providence Warwick Convention &amp; Visitors Bureau in Rhode Island received its first business meeting cancellation on January 27. The conference, focused on renewable offshore wind energy, incl… [+3453 chars]",2025-02-28T13:05:52Z,http://meetings.skift.com/2025/02/28/meeting-cancellations-mount-as-trump-administration-orders-take-effect/
Do Floating Solar Panels Cut Greenhouse Gas Emissions?,"The use of floating solar panels on freshwater bodies is an increasingly popular way of generating renewable energy. Such systems convert the sun’s rays into electricity while minimizing water evaporation. What’s more, they spare land that could be better use…",The use of floating solar panels on freshwater bodies is an increasingly popular way of generating renewable energy. Such systems convert the suns rays into electricity while minimizing water evapora… [+6566 chars],2025-02-28T13:00:03Z,https://spectrum.ieee.org/floating-solar
ABS Greenlights XXL Floating Wind Platform Design for Deepwater,"The American Bureau of Shipping (ABS) has approved Front-End Engineering Design (FEED) documents for a groundbreaking deep water floating offshore wind platform created by US-based ECO TLP, Inc. and MOCEAN-Offshore...","The American Bureau of Shipping (ABS) has approved Front-End Engineering Design (FEED) documents for a groundbreaking deep water floating offshore wind platform created by US-based ECO TLP, Inc. and … [+2413 chars]",2025-02-28T12:15:00Z,https://gcaptain.com/abs-greenlights-xxl-floating-wind-platform-design-for-deepwater/
What Could Possibly Be Worse Than Carbon Credit Markets? Water Credit Markets. And They Could Be On Their Way,"The goal, says Singapore's president, is to develop ""a reliable (sic) carbon credit system with a stapling on of water and biodiversity credits.""","The goal, says Singapore’s president, is to develop “a reliable (sic) carbon credit system with a stapling on of water and biodiversity credits.”
At this year’s annual meeting in Davos, there was a … [+19035 chars]",2025-02-28T11:45:03Z,https://www.nakedcapitalism.com/2025/02/the-only-thing-possibly-worse-than-carbon-credits-water-credits-are-now-on-the-agenda.html
After Paris: Adapting to American Abdication of Climate Governance,"After the American abdication of climate governance as a result of the Trump administration’s decisions, what will the world look like? The emerging doctrine of the second Trump administration—or at least its prevailing ethos, imported with its “broligarchs” …","After the American abdication of climate governance as a result of the Trump administration’s decisions, what will the world look like?
The emerging doctrine of the second Trump administrationor at … [+8211 chars]",2025-02-28T11:38:11Z,https://nationalinterest.org/blog/energy-world/after-paris-adapting-to-american-abdication-of-climate-governance/
Drax CEO wants to move 'more quickly' on renewable energy overhaul,"The Signal Interview
The simmering backlash to ESG that has boiled over in the Trump era has seen many companies retreat from their environmental commitments, like UK oil major BP, which this week cut its spending on renewables by 70%. Will Gardiner, chief ex…","The Signal InterviewThe simmering backlash to ESG that has boiled over in the Trump era has seen many companies retreat from their environmental commitments, like UK oil major BP, which this week cut… [+145 chars]",2025-02-28T11:09:16Z,https://biztoc.com/x/96b9fa18ec323f38
Selkirk CAO touts decommissioned gas plant as home for new Manitoba Hydro generating station,The City of Selkirk's chief administrative officer wants Manitoba Hydro to consider building a proposed fuel-combustion generating station on the site of an East Selkirk plant the Crown corporation had shut down less than four years ago.,The City of Selkirk's chief administrative officer wants Manitoba Hydro to consider building a proposed fuel-combustion generating station on the site of an East Selkirk plant the Crown corporation h… [+5617 chars],2025-02-28T11:00:00Z,https://www.cbc.ca/news/canada/manitoba/hydro-gas-plant-selkirk-cao-1.7470961
The Promise Of Nuclear Energy,A mix of sources will be the key to unlocking our energy-secure future.,"Samuel Gibson is the founder and CEO of Hadron Energy developing micro nuclear reactors for data centers.
getty
Nuclear energy has been receiving a lot of positive attention given the immense benef… [+6762 chars]",2025-02-28T11:00:00Z,https://www.forbes.com/councils/forbestechcouncil/2025/02/28/the-promise-of-nuclear-energy/
"Singapore on track to reach 2030 solar deployment goal, remains 'fully committed' to climate action: Teo Chee Hean","“In this transition to a low-carbon future, we will have to explore multiple, sometimes overlapping pathways so that we can find the right mix,"" says Senior Minister Teo Chee Hean.","Mr Teo highlighted that transitioning to clean energy is increasingly cost-effective, with the average levelised cost of solar energy globally now 50 per cent lower than that of fossil fuels. 
This … [+3531 chars]",2025-02-28T10:59:00Z,https://www.channelnewsasia.com/singapore/solar-energy-2030-goal-climate-action-fully-committed-teo-chee-hean-4967491
"Ieq Capital LLC Sells 12,477 Shares of Enbridge Inc. (NYSE:ENB)","Ieq Capital LLC cut its position in Enbridge Inc. (NYSE:ENB – Free Report) (TSE:ENB) by 63.4% during the 4th quarter, HoldingsChannel.com reports. The institutional investor owned 7,203 shares of the pipeline company’s stock after selling 12,477 shares during…","Ieq Capital LLC cut its position in Enbridge Inc. (NYSE:ENB – Free Report) (TSE:ENB) by 63.4% during the 4th quarter, HoldingsChannel.com reports. The institutional investor owned 7,203 shares of the… [+4823 chars]",2025-02-28T10:41:00Z,https://www.etfdailynews.com/2025/02/28/ieq-capital-llc-sells-12477-shares-of-enbridge-inc-nyseenb/
OEUK CEO Says UK Must Prioritize Homegrown Energy Over Imports,"'We need homegrown energy', David Whitehouse, the chief executive of industry body Offshore Energies UK (OEUK), said.","The UK must prioritize homegrown energy production over imports to support jobs, protect consumers, and grow the economy.
That’s what David Whitehouse, the chief executive of industry body Offshore … [+4079 chars]",2025-02-28T10:28:52Z,https://www.rigzone.com/news/oeuk_ceo_says_uk_must_prioritize_homegrown_energy_over_imports-28-feb-2025-179772-article/
Canada’s critical minerals and why Trump wants them,,"Ukraine president Volodymyr Zelenskyy is expected to sign a critical minerals deal at the White House on Friday, after weeks of pressure from President Donald Trump seeking repayment for U.S. aid in … [+11169 chars]",2025-02-28T10:09:06Z,https://www.nationalobserver.com/2025/02/28/explainer/canada-critical-minerals-trump
Can solar power avoid Trump’s culture wars?,"The industry is rebranding itself as a symbol of American ""energy dominance.""","This story was originally published by Grist and appears here as part of the Climate Desk collaboration
Seamus Fitzgerald hears a lot of opinions about solar power. As the associate director of real… [+8492 chars]",2025-02-28T10:09:05Z,https://www.nationalobserver.com/2025/02/28/news/can-solar-power-avoid-trumps-culture-wars
B.C. takes on Trump tariffs by boosting made-in-Canada biofuels,"Adrian Dix, B.C. minister of Energy and Climate Solutions, is making it mandatory to use Canadian renewables to meet the province's cleaner fuel benchmarks in a bid to bolster domestic producers and clean energy economy in the face of Trump tariffs.",British Columbia is implementing new measures to boost Canadian biofuel production and provincial energy independence as U.S. President Donald Trumps tariff threats are expected to unroll early next … [+4250 chars],2025-02-28T10:09:04Z,https://www.nationalobserver.com/2025/02/28/news/dix-low-carbon-fuel-requirements
Keystone XL pipeline and the Liberal divide,"As U.S. President Donald Trump continues to destabilize the Canadian economy with tariff threats, divisions in the Liberal Party are emerging at the highest levels over the role of fossil fuel pipelines in the dispute.","As U.S. President Donald Trump continues to destabilize the Canadian economy with tariff threats, divisions in the Liberal Party are emerging at the highest levels over the role of fossil fuel pipeli… [+8703 chars]",2025-02-28T10:09:03Z,https://www.nationalobserver.com/2025/02/28/analysis/trump-keystone-pipeline-wedge-liberal-ranks
Ieq Capital LLC Takes Position in Fluor Co. (NYSE:FLR),"Ieq Capital LLC acquired a new position in shares of Fluor Co. (NYSE:FLR – Free Report) in the fourth quarter, according to the company in its most recent disclosure with the SEC. The firm acquired 7,160 shares of the construction company’s stock, valued at a…","Ieq Capital LLC acquired a new position in shares of Fluor Co. (NYSE:FLR – Free Report) in the fourth quarter, according to the company in its most recent disclosure with the SEC. The firm acquired 7… [+4747 chars]",2025-02-28T10:01:04Z,https://www.etfdailynews.com/2025/02/28/ieq-capital-llc-takes-position-in-fluor-co-nyseflr/
When partners build bridges: Ghana and the European Union,"Ghana welcomes the latest delivery of advanced military equipment from the European Union. The deliveries bolster Ghana’s capacity to safeguard its people from security threats, and positively impact the sub-region. The equipment also sends an important polit…","Ghana welcomes the latest delivery of advanced military equipment from the European Union. The deliveries bolster Ghanas capacity to safeguard its people from security threats, and positively impact … [+4972 chars]",2025-02-28T09:21:24Z,https://thechronicle.com.gh/when-partners-build-bridges-ghana-and-the-european-union/
One map shows where Americans are paying the highest electricity bills,"Here's why Hawaii, Connecticut, and Alabama residents paid the highest utility bills in 2024.","Where you live can impact how much you pay for utilities.
That's because the price of electricity depends on more than just the price of oil and gas. It is also affected by local utilities' investme… [+7153 chars]",2025-02-28T09:06:02Z,https://www.businessinsider.com/average-utility-bills-state-electricity-costs-inflation-gas-prices-2025-2
"New York State Common Retirement Fund Decreases Stock Position in Hannon Armstrong Sustainable Infrastructure Capital, Inc. (NYSE:HASI)","New York State Common Retirement Fund lessened its position in shares of Hannon Armstrong Sustainable Infrastructure Capital, Inc. (NYSE:HASI – Free Report) by 9.4% during the fourth quarter, according to its most recent filing with the Securities and Exchang…","New York State Common Retirement Fund lessened its position in shares of Hannon Armstrong Sustainable Infrastructure Capital, Inc. (NYSE:HASI – Free Report) by 9.4% during the fourth quarter, accordi… [+5943 chars]",2025-02-28T09:05:01Z,https://www.etfdailynews.com/2025/02/28/new-york-state-common-retirement-fund-decreases-stock-position-in-hannon-armstrong-sustainable-infrastructure-capital-inc-nysehasi/
Pipelines seem more popular amid Trump's threats. But does it make sense to build new ones?,Political tensions have opened up space to talk more favourably about new pipelines in Canada. But does building new oil infrastructure make sense as the world transitions to clean energy?,"When the Trans Mountain pipeline expansion opened on May 1, 2024, carrying oil from Alberta to the B.C coast, there was no grand opening ceremony. The federal government of Prime Minister Justin Trud… [+8332 chars]",2025-02-28T09:00:00Z,https://www.cbc.ca/news/science/pipeline-popular-clean-energy-transition-1.7470684
Talen Energy (NASDAQ:TLN) versus Principal Solar (OTCMKTS:PSWW) Head to Head Survey,"Principal Solar (OTCMKTS:PSWW – Get Free Report) and Talen Energy (NASDAQ:TLN – Get Free Report) are both oils/energy companies, but which is the better stock? We will contrast the two businesses based on the strength of their profitability, risk, institution…","Principal Solar (OTCMKTS:PSWW – Get Free Report) and Talen Energy (NASDAQ:TLN – Get Free Report) are both oils/energy companies, but which is the better stock? We will contrast the two businesses bas… [+4052 chars]",2025-02-28T08:35:14Z,https://www.etfdailynews.com/2025/02/28/talen-energy-nasdaqtln-versus-principal-solar-otcmktspsww-head-to-head-survey/
"Principal Financial Group Inc. Purchases 9,777 Shares of Enerpac Tool Group Corp. (NYSE:EPAC)","Principal Financial Group Inc. grew its stake in Enerpac Tool Group Corp. (NYSE:EPAC – Free Report) by 3.5% in the fourth quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC). The fund owned 287,271 shares of the …","Principal Financial Group Inc. grew its stake in Enerpac Tool Group Corp. (NYSE:EPAC – Free Report) by 3.5% in the fourth quarter, according to its most recent disclosure with the Securities and Exch… [+3252 chars]",2025-02-28T08:28:48Z,https://www.etfdailynews.com/2025/02/28/principal-financial-group-inc-purchases-9777-shares-of-enerpac-tool-group-corp-nyseepac/
NPK International (NPKI) versus Its Competitors Critical Analysis,"Institutional and Insider Ownership 80.8% of NPK International shares are held by institutional investors. Comparatively, 73.7% of shares of all “Oil & gas field machinery” companies are held by institutional investors. 4.8% of NPK International shares are he…","Institutional and Insider Ownership
80.8% of NPK International shares are held by institutional investors. Comparatively, 73.7% of shares of all “Oil &amp; gas field machinery” companies are held by… [+3367 chars]",2025-02-28T08:24:54Z,https://www.etfdailynews.com/2025/02/28/npk-international-npki-versus-its-competitors-critical-analysis/
Reviewing Freddie Mac (OTC:FMCC) and Federal Agricultural Mortgage (NYSE:AGM),"Federal Agricultural Mortgage (NYSE:AGM – Get Free Report) and Freddie Mac (OTC:FMCC – Get Free Report) are both mid-cap finance companies, but which is the better business? We will contrast the two companies based on the strength of their dividends, valuatio…","Federal Agricultural Mortgage (NYSE:AGM – Get Free Report) and Freddie Mac (OTC:FMCC – Get Free Report) are both mid-cap finance companies, but which is the better business? We will contrast the two … [+5752 chars]",2025-02-28T08:24:53Z,https://www.etfdailynews.com/2025/02/28/reviewing-freddie-mac-otcfmcc-and-federal-agricultural-mortgage-nyseagm/
"GE Vernova, NRG Energy Launch JV to Power Data Center, AI Boom","Initially the JV will work to bring online four projects with a combined capacity of 5 GW, to be supplied to the ERCOT and PJM markets.",NRG Energy Inc. and GE Vernova Inc. have announced a joint venture (JV) to rapidly add new generation capacity to capitalize on growing demand from data center and artificial intelligence (AI) firms.… [+2538 chars],2025-02-28T08:21:07Z,https://www.rigzone.com/news/ge_vernova_nrg_energy_launch_jv_to_power_data_center_ai_boom-28-feb-2025-179771-article/
"Rhumbline Advisers Buys 4,280 Shares of Gibraltar Industries, Inc. (NASDAQ:ROCK)","Rhumbline Advisers increased its stake in shares of Gibraltar Industries, Inc. (NASDAQ:ROCK – Free Report) by 4.7% in the fourth quarter, according to the company in its most recent Form 13F filing with the SEC. The fund owned 95,220 shares of the constructio…","Rhumbline Advisers increased its stake in shares of Gibraltar Industries, Inc. (NASDAQ:ROCK – Free Report) by 4.7% in the fourth quarter, according to the company in its most recent Form 13F filing w… [+3964 chars]",2025-02-28T08:20:57Z,https://www.etfdailynews.com/2025/02/28/rhumbline-advisers-buys-4280-shares-of-gibraltar-industries-inc-nasdaqrock/
China missed key climate target last year: official data,"China missed a key climate target in 2024 and emissions in the world’s second-largest economy rose slightly as coal remained dominant despite record renewable additions, official data showed Friday. The figures mean the world’s biggest emitter is off-track on…","China remains the biggest emitter of the greenhouse gases that drive climate change but is also a renewable energy powerhouse - Copyright AFP -
China missed a key climate target in 2024 and emission… [+3265 chars]",2025-02-28T08:12:21Z,https://www.digitaljournal.com/world/china-missed-key-climate-target-last-year-official-data/article
Promising Green Energy Stocks To Keep An Eye On – February 26th,"Darling Ingredients, Mercer International, Richardson Electronics, Nuvve, NWTN, NWTN, and Nuvve are the seven Green Energy stocks to watch today, according to MarketBeat’s stock screener tool. Green energy stocks are shares in companies that develop, produce,…","Darling Ingredients, Mercer International, Richardson Electronics, Nuvve, NWTN, NWTN, and Nuvve are the seven Green Energy stocks to watch today, according to MarketBeat’s stock screener tool. Green … [+6946 chars]",2025-02-28T08:08:50Z,https://www.etfdailynews.com/2025/02/28/promising-green-energy-stocks-to-keep-an-eye-on-february-26th/
Reviewing Bitdeer Technologies Group (NASDAQ:BTDR) and SBI (OTCMKTS:SBHGF),"Bitdeer Technologies Group (NASDAQ:BTDR – Get Free Report) and SBI (OTCMKTS:SBHGF – Get Free Report) are both business services companies, but which is the superior stock? We will compare the two companies based on the strength of their dividends, analyst rec…","Bitdeer Technologies Group (NASDAQ:BTDR – Get Free Report) and SBI (OTCMKTS:SBHGF – Get Free Report) are both business services companies, but which is the superior stock? We will compare the two com… [+5722 chars]",2025-02-28T08:02:47Z,https://www.etfdailynews.com/2025/02/28/reviewing-bitdeer-technologies-group-nasdaqbtdr-and-sbi-otcmktssbhgf/
Comparing Bath & Body Works (NYSE:BBWI) & Titan Machinery (NASDAQ:TITN),"Bath & Body Works (NYSE:BBWI – Get Free Report) and Titan Machinery (NASDAQ:TITN – Get Free Report) are both retail/wholesale companies, but which is the superior investment? We will compare the two businesses based on the strength of their valuation, analyst…","Bath &amp; Body Works (NYSE:BBWI – Get Free Report) and Titan Machinery (NASDAQ:TITN – Get Free Report) are both retail/wholesale companies, but which is the superior investment? We will compare the … [+5738 chars]",2025-02-28T08:02:46Z,https://www.etfdailynews.com/2025/02/28/comparing-bath-titan-machinery-nasdaqtitn/
Silicon Laboratories (NASDAQ:SLAB) vs. Peraso (NASDAQ:PRSO) Financial Analysis,"Silicon Laboratories (NASDAQ:SLAB – Get Free Report) and Peraso (NASDAQ:PRSO – Get Free Report) are both computer and technology companies, but which is the superior stock? We will compare the two businesses based on the strength of their analyst recommendati…","Silicon Laboratories (NASDAQ:SLAB – Get Free Report) and Peraso (NASDAQ:PRSO – Get Free Report) are both computer and technology companies, but which is the superior stock? We will compare the two bu… [+5848 chars]",2025-02-28T08:01:14Z,https://www.etfdailynews.com/2025/02/28/silicon-laboratories-nasdaqslab-vs-peraso-nasdaqprso-financial-analysis/
"To ease the energy crisis, we're going to need better batteries","Batteries are everywhere. They're in our phones, our remote controls, smart-watches, electric cars and so much more. They could also be the solution to a problem that renewable energy companies have faced for years: How to store the mass amounts of energy the…","California Flats is a 2900 acre plot of land in central California that's covered in solar panels. The extra energy generated from all that solar flows straight into batteries right on site.
Hearst … [+1455 chars]",2025-02-28T08:00:59Z,https://www.npr.org/2025/02/28/1234443286/battery-california-energy-electricity-renewable-energy
"Centara Hotels & Resorts Embarks on a Transformational Year with Major Renovations, New Brands, and Key Openings in 2025","Centara Hotels & Resorts, Thailand’s leading hotel operator, is looking ahead to another highly productive year in 2025, as it enters exciting new markets, unveils exceptional guest experiences, and moves confidently towards its goal of becoming “The Place to…","<ul><li>Nine new hotels &amp; resorts to open in 2025, including inaugural properties in Indonesia and Nepal</li><li>Transformative projects to get underway at iconic Centara Grand resorts in Hua Hin… [+8526 chars]",2025-02-28T07:45:10Z,https://www.hospitalitynet.org/news/4126062.html
"Adani Green Energy surpasses 12,000 MW milestone in renewable energy portfolio","Adani Green Energy Limited (AGEL) has reached a significant milestone, surpassing 12,000 MW in its operational portfolio, making it the first renewable energy company in India to achieve this. The portfolio, totaling 12,258.1 MW, includes 8,347.5 MW of solar,…","Offer Exclusively For You
Save up to Rs. 700/-
ON ET PRIME MEMBERSHIP
Avail Offer
Offer Exclusively For You
Get 1 Year Free
With 1 and 2-Year ET prime membership
Avail Offer
Offer Exclusively… [+246 chars]",2025-02-28T07:07:54Z,https://economictimes.indiatimes.com/industry/renewables/adani-green-energy-surpasses-12000-mw-milestone-in-renewable-energy-portfolio/articleshow/118621338.cms
Greed Kills,"The spectacle of two billionaires – let’s call them M’ump -- wanting more and more money and power is mortifying. No matter how much they have, it’s not enough. Their press conference in the Oval Office a couple of weeks ago -- an old man slumped at the Resol…","President Donald Trump with reporters, Elon Musk and X Æ A-Xii in the White House Oval Office on February 11, 2025. Photo: The White House (Wikimedia Commons)
Musk and Trump: A morbid spectacle
The… [+21660 chars]",2025-02-28T07:00:35Z,https://www.counterpunch.org/2025/02/28/greed-kills/
The End of Oil and Empire,"In the wake of Donald Trump’s anti-environmental “Drill baby, drill” stance, now may not seem the time to champion a greener future, but we have no choice if we want the earth to remain habitable. Across the globe, the politics of oil continues causing confli…","Oil refinery near Ashland, Kentucky. Photo: Jeffrey St. Clair.
In the wake of Donald Trumps anti-environmental Drill baby, drill stance, now may not seem the time to champion a greener future, but w… [+34012 chars]",2025-02-28T06:57:13Z,https://www.counterpunch.org/?p=355747
Is India’s Renewable Energy Growth Meeting Emerging Tech Demands?,"India's renewable energy transition must align with AI-driven power demands. Explore challenges, policies, and innovations shaping a sustainable future.","India is at a crucial moment in its renewable energy transition, with the objective of reducing net emissions to zero by 2070. With this ambitious goal to reduce carbon, the country saw significant p… [+5444 chars]",2025-02-28T06:55:12Z,https://economictimes.indiatimes.com/news/india/is-indias-renewable-energy-growth-meeting-emerging-tech-demands/articleshow/118621073.cms
National broadband project to need a further €80m funding boost,"The best news, analysis and comment from The Irish Times business desk","Irelands continuing efforts to roll out broadband connectivity across the State is set to cost an additional 80 million funding already provided in the last budget. The National Broadband Plan, if es… [+4837 chars]",2025-02-28T06:21:39Z,https://www.irishtimes.com/business/2025/02/28/national-broadband-project-to-need-a-further-80m-funding-boost/
Italy lays groundwork for a nuclear energy comeback,The process is expected to be lengthy as the draft law is part of a broader initiative to finalise a consolidated nuclear code by 2027.,"ROME - Italy's Council of Ministers will discuss a draft law that could pave the way for the return of nuclear power in Italy, decades after referendums in 1987 and 2011 led to its phase-out.
The dr… [+2697 chars]",2025-02-28T06:09:02Z,https://www.euractiv.com/section/politics/news/italy-lays-groundwork-for-a-nuclear-energy-comeback/
